date,DAviationCO2 per day,GtransportCO2 per day
05/09/2021,0.461778,4.5008
06/09/2021,0.46177,4.50946
07/09/2021,0.460231,4.59584
08/09/2021,0.459113,4.56228
09/09/2021,0.465319,4.52656
10/09/2021,0.468288,4.54738
11/09/2021,0.469975,4.52777
12/09/2021,0.471318,4.54224
13/09/2021,0.471487,4.53966
14/09/2021,0.471359,4.53441
15/09/2021,0.470608,4.52788
16/09/2021,0.471298,4.51204
17/09/2021,0.472373,4.50234
18/09/2021,0.474085,4.51828
19/09/2021,0.472989,4.494
20/09/2021,0.473275,4.49418
21/09/2021,0.475113,4.4809
22/09/2021,0.476757,4.48128
23/09/2021,0.477544,4.47669
24/09/2021,0.478875,4.46986
25/09/2021,0.478143,4.45789
26/09/2021,0.479463,4.44589
27/09/2021,0.480048,4.44095
28/09/2021,0.477531,4.41425
29/09/2021,0.47459,4.38454
30/09/2021,0.472004,4.38057
01/10/2021,0.469141,4.3761
02/10/2021,0.468182,4.37964
03/10/2021,0.467048,4.38234
04/10/2021,0.465536,4.40939
05/10/2021,0.465322,4.37734
06/10/2021,0.465782,4.38847
07/10/2021,0.463604,4.37876
08/10/2021,0.463152,4.4165
09/10/2021,0.465544,4.42172
10/10/2021,0.466528,4.4564
11/10/2021,0.468085,4.44308
12/10/2021,0.469492,4.43406
13/10/2021,0.470372,4.44485
14/10/2021,0.475157,4.45748
15/10/2021,0.477573,4.4447
16/10/2021,0.478013,4.44562
17/10/2021,0.479717,4.44387
18/10/2021,0.479671,4.43933
19/10/2021,0.478572,4.47043
20/10/2021,0.478857,4.47034
21/10/2021,0.477006,4.48055
22/10/2021,0.475082,4.50176
23/10/2021,0.474378,4.51632
24/10/2021,0.471404,4.47113
25/10/2021,0.468724,4.45396
26/10/2021,0.467077,4.46714
27/10/2021,0.463976,4.46929
28/10/2021,0.457334,4.4695
29/10/2021,0.4562,4.44678
30/10/2021,0.457866,4.44296
31/10/2021,0.462519,4.46946
01/11/2021,0.468812,4.46815
02/11/2021,0.474769,4.46923
03/11/2021,0.480083,4.4687
04/11/2021,0.486004,4.4669
05/11/2021,0.492591,4.4368
06/11/2021,0.49386,4.41812
07/11/2021,0.494109,4.4128
08/11/2021,0.492371,4.4237
09/11/2021,0.491316,4.41082
10/11/2021,0.490571,4.39895
11/11/2021,0.492423,4.40607
12/11/2021,0.492212,4.44633
13/11/2021,0.493161,4.46235
14/11/2021,0.49347,4.48149
15/11/2021,0.494173,4.45639
16/11/2021,0.496895,4.47127
17/11/2021,0.504317,4.48396
18/11/2021,0.50736,4.47836
19/11/2021,0.506234,4.45852
20/11/2021,0.511602,4.46786
21/11/2021,0.52175,4.48922
22/11/2021,0.505068,4.56097
23/11/2021,0.474325,4.49703
24/11/2021,0.468947,4.48104
25/11/2021,0.478472,4.49943
26/11/2021,0.485897,4.54299
27/11/2021,0.485827,4.53184
28/11/2021,0.477944,4.49638
29/11/2021,0.494422,4.46095
30/11/2021,0.521566,4.48194
01/12/2021,0.519394,4.46661
02/12/2021,0.504752,4.45188
03/12/2021,0.49498,4.41454
04/12/2021,0.487781,4.42319
05/12/2021,0.484474,4.42977
06/12/2021,0.483755,4.41529
07/12/2021,0.483903,4.43328
08/12/2021,0.481319,4.43822
09/12/2021,0.481203,4.39311
10/12/2021,0.482202,4.36982
11/12/2021,0.481625,4.3417
12/12/2021,0.480862,4.33237
13/12/2021,0.48136,4.33756
14/12/2021,0.486487,4.35032
15/12/2021,0.497747,4.36674
16/12/2021,0.505556,4.37879
17/12/2021,0.508113,4.39383
18/12/2021,0.513402,4.4286
19/12/2021,0.520912,4.44354
20/12/2021,0.522899,4.43506
21/12/2021,0.509152,4.37825
22/12/2021,0.481149,4.37321
23/12/2021,0.469521,4.40507
24/12/2021,0.46536,4.40767
25/12/2021,0.462405,4.38077
26/12/2021,0.457491,4.38138
27/12/2021,0.451597,4.41064
28/12/2021,0.455816,4.39709
29/12/2021,0.492393,4.37465
30/12/2021,0.497349,4.42473
31/12/2021,0.494492,4.28386
